desc,jaccard,rbo,kendall_tau
HawkesRanker L=157 p=0.1 beta=1.6974707279090337e-07,0.39682393053829884,0.41292655231475917,0.42468043013590595
HawkesRanker L=157 p=0.5 beta=5.1098960586219135e-08,0.3788612809913385,0.39912205060064343,0.3962858242427931
HawkesRanker L=158 p=0.01 beta=3.373454484578712e-07,0.4012485169785715,0.41269492811655345,0.4113573226096806
HawkesRanker L=158 p=0.1 beta=1.686727242289356e-07,0.39617010331515135,0.4126253522683871,0.4239580517242029
HawkesRanker L=158 p=0.5 beta=5.077554944326838e-08,0.3787434953611854,0.3990422292557896,0.39612141446992266
HawkesRanker L=159 p=0.01 beta=3.352237789707148e-07,0.4010129917511814,0.41267829222459984,0.4119689792114967
HawkesRanker L=159 p=0.1 beta=1.676118894853574e-07,0.3963535528594406,0.41242577079787635,0.42330116312050825
HawkesRanker L=159 p=0.5 beta=5.045620636500883e-08,0.37844903128580265,0.39899661619313226,0.39585259990473104
HawkesRanker L=16 p=0.01 beta=3.3312863035214785e-06,0.3495315248325319,0.3772679362271044,0.3773550792838802
HawkesRanker L=16 p=0.1 beta=1.6656431517607393e-06,0.37404737489486367,0.39302839288943675,0.39246826651363637
HawkesRanker L=16 p=0.5 beta=5.014085507522752e-07,0.39800426562577124,0.4124276500385741,0.4179362470116421
HawkesRanker L=160 p=0.01 beta=3.3312863035214783e-07,0.40087689698611134,0.41264053072305185,0.41153049897059185
HawkesRanker L=160 p=0.1 beta=1.6656431517607392e-07,0.3960891993962774,0.41242595572050367,0.4245896652717671
HawkesRanker L=160 p=0.5 beta=5.0140855075227526e-08,0.37835199148373905,0.3988417960567731,0.39595720259791495
HawkesRanker L=161 p=0.01 beta=3.3105950842449476e-07,0.40099123967476297,0.4125718249969244,0.40911610369974133
HawkesRanker L=161 p=0.1 beta=1.6552975421224738e-07,0.3961757056360674,0.41240939381451897,0.4224913559798337
HawkesRanker L=161 p=0.5 beta=4.9829421192772696e-08,0.3776341215627498,0.3986197311430294,0.39605279608855165
HawkesRanker L=162 p=0.01 beta=3.2901593121199787e-07,0.4008399775093665,0.4126803664485447,0.40943510708588543
HawkesRanker L=162 p=0.1 beta=1.6450796560599893e-07,0.3961757056360674,0.41253823626683334,0.4224719554626191
HawkesRanker L=162 p=0.5 beta=4.952183217306422e-08,0.37744664938418837,0.3986333008605175,0.39618895828543954
HawkesRanker L=163 p=0.01 beta=3.269974285665255e-07,0.401220197789159,0.4126580099041817,0.4097869873202373
HawkesRanker L=163 p=0.1 beta=1.6349871428326274e-07,0.39478466767259135,0.41087017423068367,0.4216474351601604
HawkesRanker L=163 p=0.5 beta=4.921801725175708e-08,0.37744664938418837,0.39805233186259836,0.3955061998983448
HawkesRanker L=164 p=0.01 beta=3.250035418069735e-07,0.4008695280057807,0.41265149459942413,0.4098047878451385
HawkesRanker L=164 p=0.1 beta=1.6250177090348676e-07,0.39460643043202737,0.4106862552024891,0.4212654074043381
HawkesRanker L=164 p=0.5 beta=4.891790739046588e-08,0.3777621466078128,0.39808197330873046,0.3952062230689415
HawkesRanker L=165 p=0.01 beta=3.2303382337177975e-07,0.4010569142355697,0.4126003829874588,0.4100052109425641
HawkesRanker L=165 p=0.1 beta=1.6151691168588988e-07,0.3942558540532367,0.41079780712155856,0.42212467136250925
HawkesRanker L=165 p=0.5 beta=4.8621435224463055e-08,0.3777621466078128,0.3980378036974231,0.39524142290043685
HawkesRanker L=166 p=0.01 beta=3.210878364839979e-07,0.40130005742924296,0.41266091326204096,0.4097001551740201
HawkesRanker L=166 p=0.1 beta=1.6054391824199896e-07,0.3942558540532367,0.41094606003952056,0.4227929887103392
HawkesRanker L=166 p=0.5 beta=4.8328535012267495e-08,0.3777621466078128,0.39799941232891956,0.39504320629756207
HawkesRanker L=167 p=0.01 beta=3.191651548284051e-07,0.40096066721429585,0.4119408625640269,0.40903599831542975
HawkesRanker L=167 p=0.1 beta=1.5958257741420256e-07,0.39462718039889266,0.41095381335366965,0.4220933879442463
HawkesRanker L=167 p=0.5 beta=4.8039142587044333e-08,0.3777621466078128,0.39777571327860656,0.394980382778728
