,L,mu_t,mu_c,theta,forget_func,jaccard_sim,rbo
8798,90.0,0.38685714285714284,0.38685714285714284,0.33366666666666667,exp,0.3572091363926501,0.3575714350233645
8799,90.0,0.38685714285714284,0.45099999999999996,0.001,exp,0.3263310074084741,0.3367117769443367
8800,90.0,0.38685714285714284,0.45099999999999996,0.05644444444444444,exp,0.33798002247326936,0.3448994863213383
8801,90.0,0.38685714285714284,0.45099999999999996,0.11188888888888888,exp,0.3418139065037729,0.34711553403420886
8802,90.0,0.38685714285714284,0.45099999999999996,0.16733333333333333,exp,0.34479766874838513,0.348887566167697
8803,90.0,0.38685714285714284,0.45099999999999996,0.22277777777777777,exp,0.3472468870719019,0.34939719687442233
8804,90.0,0.38685714285714284,0.45099999999999996,0.2782222222222222,exp,0.34920336014974845,0.3505958787536549
8805,90.0,0.38685714285714284,0.45099999999999996,0.33366666666666667,exp,0.3493535291885894,0.3518732451794052
8806,90.0,0.38685714285714284,0.5151428571428571,0.001,exp,0.3223380619960116,0.33198753075256326
8807,90.0,0.38685714285714284,0.5151428571428571,0.05644444444444444,exp,0.333585950046544,0.3394988474203742
8808,90.0,0.38685714285714284,0.5151428571428571,0.11188888888888888,exp,0.33768059875734635,0.34162250093486884
8809,90.0,0.38685714285714284,0.5151428571428571,0.16733333333333333,exp,0.33945490657235217,0.34313966926715717
8810,90.0,0.38685714285714284,0.5151428571428571,0.22277777777777777,exp,0.3416735447475201,0.34432153960258305
