,L,mu,theta,forget_func,jaccard_sim
510,43.0,0.4,0.5,exp,0.015783950521617438
511,43.0,0.4,0.5,pow,0.043564863349345666
512,43.0,0.6,0.05,exp,0.2933289918816649
513,43.0,0.6,0.05,pow,0.2856714430448096
514,43.0,0.6,0.1,exp,0.2986432229377123
515,43.0,0.6,0.1,pow,0.29140182799577435
516,43.0,0.6,0.3,exp,0.3063492680860647
517,43.0,0.6,0.3,pow,0.294974920278844
518,43.0,0.6,0.5,exp,0.317750309979133
519,43.0,0.6,0.5,pow,0.29965134248046665
520,43.0,0.8,0.05,exp,0.28375348978567966
521,43.0,0.8,0.05,pow,0.2749058289941957
522,43.0,0.8,0.1,exp,0.28605754435621944
523,43.0,0.8,0.1,pow,0.2769252017220185
524,43.0,0.8,0.3,exp,0.293014848097763
525,43.0,0.8,0.3,pow,0.2872196753619991
526,43.0,0.8,0.5,exp,0.2981177993022372
527,43.0,0.8,0.5,pow,0.29435306756634044
528,45.0,0.4,0.05,exp,0.3095619637042337
529,45.0,0.4,0.05,pow,0.28902459188913765
530,45.0,0.4,0.1,exp,0.31285399225652044
531,45.0,0.4,0.1,pow,0.2909596822281825
532,45.0,0.4,0.3,exp,0.328268750248822
533,45.0,0.4,0.3,pow,0.2902045586854604
